File Name,Dry pix Percentage,Yellow Pixels Percentage ,Pale Yellow Pix Per,Light Green Pix Per,Green Pix Per,Total Plant Pix,Plant Area(in meter)
Test_2024_1290_2024-09-03_12-25-05.509_112962000,11.102373610909915,1.9949092564617263,31.643834199035656,50.10967862094655,5.1492043126461535,193292.0,0.386584
Test_2024_1290_2024-09-09_16-37-02.016_113051300,18.4332415922669,2.75101149102626,36.29528825205807,40.703741448857926,1.8167172157908549,163867.0,0.327734
Test_2024_1291_2024-09-03_12-25-49.335_112962100,15.108362541977868,8.481823353458243,52.18835446754629,20.4026205200668,3.818839116950801,54493.0,0.108986
Test_2024_1291_2024-09-09_16-37-45.818_113051400,12.515103413963844,5.593593783316353,60.6233267786491,19.589424056480844,1.6785519675898506,84418.0,0.168836
Test_2024_1292_2024-09-03_12-26-32.693_112962200,14.276709170809019,1.9460053310280243,23.266515380736266,51.73078308479217,8.779987032634537,111048.0,0.222096
Test_2024_1292_2024-09-09_16-38-29.443_113051500,11.259098469923437,1.6568947821675888,8.862529050220015,61.11340498071184,17.108072716977127,169534.0,0.339068
Test_2024_1293_2024-09-03_12-27-16.020_112962300,11.352801626751015,9.894374152733846,33.5020334387709,37.96712607320379,7.283664708540442,177040.0,0.35408
Test_2024_1293_2024-09-09_16-39-13.412_113051600,11.021438873770638,8.306221614380336,34.57992783692826,40.7441291653636,5.348282509557173,214237.0,0.428474
Test_2024_1294_2024-09-03_12-27-59.414_112962400,11.205250841612614,0.7415428196075211,20.747290417932508,63.08399704409229,4.22191887675507,194864.0,0.389728
Test_2024_1294_2024-09-09_16-39-56.964_113051700,11.714767790477795,2.7195550221647498,29.68615068487084,49.598997382743825,6.28052911974279,225809.0,0.451618
Test_2024_1295_2024-09-03_12-28-52.363_112962500,12.020835833115704,1.0904932982305071,27.66112126708969,55.271423429019116,3.9561261725449786,141679.0,0.283358
Test_2024_1295_2024-09-09_16-41-11.170_113051800,13.807337364186024,1.4447424648815748,23.02586716370414,58.65890803291358,3.0631449743146795,109985.0,0.21997
Test_2024_1296_2024-09-03_12-30-48.633_112962600,11.915488361203534,1.8545451965576687,36.045859908762615,45.55696660541607,4.627139928060107,140951.0,0.281902
Test_2024_1296_2024-09-09_16-43-06.039_113051900,13.393311561625245,2.275426244804479,26.81313088472305,50.33240732886589,7.185723979981338,188624.0,0.377248
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Test_2024_1279_2024-09-16_17-21-19.519_113267200,35.23096743,12.20784001,4.435310717,39.51291332,8.61296853,16301.0,0.032602
Test_2024_2213_2024-09-16_17-40-41.650_113267500,24.92006771,3.3352140930000003,4.977744342,46.17892295,20.58805091,15951.0,0.031902
Test_2024_trangenict2_2024-09-16_17-38-52.243_113267400,32.25945017,22.83791523,7.631729667999999,29.72508591,7.545819015,6984.0,0.013968
Test_2024_trans_2024-09-16_17-21-57.690_113267300,37.24917913,8.819773805,17.40240788,33.69208318,2.8365560010000004,10964.0,0.021928
DST_2024_1285_2024-09-09_11-20-09.163_113044800,11.420893816844325,1.673005160069277,26.383309229203487,58.62615387362294,1.8966379202599681,224028.0,0.4480560000000001
DST_2024_1285_2024-09-13_12-02-01.657_113176700,9.654833523640724,0.6615312075713937,19.69227011151445,65.43620157813112,4.5551635791423095,352062.0,0.704124
DST_2024_1286_2024-09-06_14-39-27.888_113018800,12.517352232045006,3.0503397384379336,26.70904264387132,51.232312900319045,6.490952485326709,164244.0,0.328488
